,Ticket_ID,Total,Subtotal,Tax,Tips,Opened At,Closed At,Order Type,Item Name,Category Name
34,147593,115.78,105.0,10.78,20.0,1593300896,1593304742.0,Dine In,"Zac Brown , Sampler, 16oz Sirloin, Ribeye Spec, CAB Sebastiani","Apps, Food, Grill, Food, Smokehouse, Food, Glass Wine, Wine, GL Red Wine"
35,147586,124.9,109.5,15.4,26.0,1593299623,1593304721.0,Dine In,"Ozk Vod Mule, 9oz Filet, $4 Salad, 16oz Sirloin, Ozk Vod Mule, Ozk Vod Mule, Coffee, Coffee","Grill, Food, Beverages, Non-alcoholic Beverage, Food, Food, Sides, Side, Liquor , Cktls N-Z, Liquor, Smokehouse, Food"
36,147589,133.01,119.25,13.76,27.0,1593299969,1593304650.0,Dine In,"Titos, *PN Darkhorse, Spin Dip, Meatball (3) App, 6oz Filet, Lasagna, 6oz Filet, Dr. Pepper","Apps, Food, Grill, Food, Vodka, Liquor, Beverages, Non-alcoholic Beverage, Food, Glass Wine, Wine, GL Red Wine, Pasta, Food"
37,147608,0.0,0.0,0.0,0.0,1593304558,1593304646.0,Dine In,None,None
38,147577,54.86,48.0,6.86,10.0,1593297415,1593304011.0,Dine In,"Jack Daniels, Jack Daniels, KC Steak Spec, $ Baked Potato, $4 Salad","Grill, Food, Whiskey, Liquor, Food, Sides, Side"
39,147590,91.44,82.75,8.69,18.0,1593300005,1593302931.0,Dine In,"9oz Filet, Kid Mac/Chz, 9oz Filet, Iced Tea","Beverages, Non-alcoholic Beverage, Food, Kids, Food, Grill, Food"
40,147602,0.0,0.0,0.0,0.0,1593302820,1593302913.0,Dine In,None,None
41,147597,89.78,81.25,8.53,18.22,1593297992,1593302909.0,Dine In,"Chez & And, Iced Tea, Water, 6oz Filet, Ribeye Spec, 50th Cheesecake","Apps, Food, Beverages, Non-alcoholic Beverage, Food, Grill, Food, Dessert, Desssert, Food"
42,147580,79.56,72.0,7.56,16.0,1593297992,1593302891.0,Dine In,"Spin Dip, Sweet Tea, Iced Tea, Ribeye Spec, KC Steak Spec, 50th Cheesecake","Apps, Food, Beverages, Non-alcoholic Beverage, Food, Grill, Food, Dessert, Desssert, Food"
43,147596,44.48,40.25,4.23,9.0,1593297992,1593302880.0,Dine In,"Spin Dip, Iced Tea, KC Steak Spec, 50th Cheesecake","Apps, Food, Beverages, Non-alcoholic Beverage, Food, Grill, Food, Dessert, Desssert, Food"
44,147576,69.53,63.0,6.53,20.0,1593297395,1593300884.0,Dine In,"Bud Lt Btl, 16oz Sirloin, Lou's Spaghetti, Bud Lt Btl, 50th Cheesecake","Pasta, Food, Smokehouse, Food, Dessert, Desssert, Food, Draft Beer, Beer, Beer "
45,147579,67.13,60.75,6.38,13.5,1593297983,1593300776.0,Dine In,"Iced Tea, Water, KC Steak Spec, Mush Top, Ribeye Spec","Beverages, Non-alcoholic Beverage, Food, Grill, Food, Food, À la Carte, Side"
46,147588,37.57,34.0,3.57,3.0,1593299771,1593300766.0,TakeOut ,"Sliced Sirloin, Sliced Sirloin","Smokehouse, Grill, Food"
47,147581,92.82,84.0,8.82,0.0,1593298062,1593300262.0,TakeOut ,"Taste of Fred's, Sd Mac N Cheez, Sampler, Sampler, $ Sweet Potato, Sliced Sirloin, Colelsaw","Apps, Food, Smokehouse, Food, Food, Sides, Side, Smokehouse, Grill, Food"
48,147582,58.01,52.5,5.51,0.0,1593298380,1593299688.0,TakeOut ,"Lasagna, Saut Spinach, Side Mush, 9oz Sirloin, BiteSquad $4, BiteSquad $4, BiteSquad, BiteSquad $.50","Pasta, Food, Apps, Food, Food, Sides, Side, Smokehouse, Food"
49,147560,145.2,132.0,13.2,28.0,1593292615,1593299458.0,Dine In,"-Tacos, 16oz Sirloin, Baked Potato, BTL PN MacMurray, Cobbler A, PN MacMurry, PN MacMurry","Bar Menu, Apps, Food, Glass Wine, Wine, GL Red Wine, Dessert, Desssert, Food, Bottled Wine, Wine, Btl Red Wine, Food, Sides, Side, Smokehouse, Food"
