"Category,Item number,Barcode,Description,Proof,Bottle size (ml),Case quantity,Bottle price,Case price,TPR,Bailment Number"
"American Brandies,55506,086816109144,Paramount Cherry Brandy,75,750,12.00,8.25,99.00,No,434"
"American Brandies,56206,086816109748,Paramount Peach Brandy,75,750,12.00,8.25,99.00,No,434"
"American Brandies,55106,087116017689,Phillips Blackberry Brandy,70,750,12.00,7.14,85.68,No,380"
"American Brandies,54057,088352118291,Arrow Apricot Brandy,60,""1,000"",12.00,9.57,114.84,No,434"
"American Brandies,54056,088352118604,Arrow Apricot Brandy,60,750,12.00,8.25,99.00,No,434"
"American Brandies,55246,088352118949,Arrow Wild Cherry Brandy,60,750,12.00,8.25,99.00,No,434"
"American Brandies,54647,088352119823,Arrow Blackberry Brandy,60,""1,000"",12.00,9.57,114.84,No,434"
"American Brandies,54646,088352119830,Arrow Blackberry Brandy,60,750,12.00,8.25,99.00,No,434"
"American Brandies,55068,089000001934,Mr Boston Blackberry Brandy,70,""1,750"",6.00,15.00,90.00,No,055"
"American Brandies,54436,089000013104,Mr Boston Apricot Brandy,70,750,12.00,6.75,81.00,No,055"
"American Brandies,55066,089000013142,Mr Boston Blackberry Brandy,70,750,12.00,6.75,81.00,No,055"
"American Brandies,52362,089105624106,Conciere Brandy,80,""1,000"",12.00,12.26,147.12,No,803"
"American Brandies,56006,096749000692,Christian Bros Peach,70,750,12.00,9.00,108.00,No,259"
"American Brandies,72732,096749001132,Christian Bros Apple,70,750,12.00,9.00,108.00,No,259"
"American Brandies,53920,736211720443,Two Jay's Grappa,80,375,12.00,12.68,152.16,No,086"
"American Brandies,49962,858481005041,Driftless Glen 5YR Reserve Brandy,92,750,6.00,26.25,157.50,No,232"
"American Brandies,52216,859824001324,Cedar Ridge Brandy,80,750,6.00,30.00,180.00,No,125"
"American Brandies,53629,859824001331,Cedar Ridge Apple Brandy,80,750,6.00,28.13,168.78,No,125"
"American Brandies,56667,859824001690,Cedar Ridge Pear Brandy,80,750,6.00,28.13,168.78,No,125"
"American Cordials & Liqueur,72480,040232301803,Bleu Original,60,750,6.00,19.50,117.00,No,269"
"American Cordials & Liqueur,72482,040232301810,Bleu Pel,60,750,6.00,19.50,117.00,No,269"
"American Cordials & Liqueur,84197,080660010700,99 Pineapple Mini,99,50,10.00,9.00,90.00,No,055"
"American Cordials & Liqueur,84187,080660113753,99 Cinnamon,99,100,48.00,1.43,68.64,No,055"
"American Cordials & Liqueur,85526,080686316022,Dekuyper Blue Curacao,48,750,12.00,7.88,94.56,No,065"
"American Cordials & Liqueur,80096,080686333029,Dekuyper Creme de Banana,56,750,12.00,7.88,94.56,No,065"
"American Cordials & Liqueur,73526,080686345404,Dekuyper Melon Liqueur,46,750,12.00,9.75,117.00,No,065"
"American Cordials & Liqueur,73533,080686405023,Dekuyper 03,80,750,12.00,18.11,217.32,No,065"
"American Cordials & Liqueur,72606,080915033768,Bols Black Raspberry,34,750,12.00,8.13,97.56,No,305"
"American Cordials & Liqueur,85986,080915039197,Bols Triple Sec 30prf,30,750,12.00,5.63,67.56,No,305"
"American Cordials & Liqueur,72636,080915116447,Bols Melon,34,750,12.00,8.13,97.56,No,305"
"American Cordials & Liqueur,73986,082928399824,Di Amore Amaretto,42,750,12.00,9.00,108.00,No,055"
"American Cordials & Liqueur,75198,084279002101,Kinky Blue,34,750,6.00,15.00,90.00,No,322"
"American Cordials & Liqueur,75197,084279002101,Kinky Aloha,34,750,6.00,15.00,90.00,No,322"
"American Cordials & Liqueur,75195,084279002118,Kinky Aloha Mini,34,50,6.00,7.26,43.56,No,322"
"American Cordials & Liqueur,75243,084279003054,Kinky Ruby,34,750,6.00,15.00,90.00,No,322"
"American Cordials & Liqueur,75242,084279003061,Kinky Ruby Mini,34,50,6.00,7.26,43.56,No,322"
"American Cordials & Liqueur,75210,084279983431,Kinky Pink,34,750,6.00,15.00,90.00,No,322"
"American Cordials & Liqueur,75208,084279985978,Kinky Pink Mini,34,50,6.00,7.26,43.56,No,322"
"American Cordials & Liqueur,75209,084279989457,Kinky Pink,34,375,12.00,7.50,90.00,No,322"
"American Cordials & Liqueur,75212,084279991528,Kinky Blue Mini,34,50,6.00,7.26,43.56,No,322"
"American Cordials & Liqueur,75213,084279992105,Kinky Blue,34,375,12.00,7.50,90.00,No,322"
"American Cordials & Liqueur,75218,084279996684,Kinky Green Mini,34,50,6.00,7.26,43.56,No,322"
"American Cordials & Liqueur,75221,084279996714,Kinky Green,34,750,6.00,15.00,90.00,No,322"
"American Cordials & Liqueur,75224,084279998343,Kinky Red Mini,34,50,6.00,7.26,43.56,No,322"
"American Cordials & Liqueur,75230,084279998350,Kinky Red,34,750,6.00,15.00,90.00,No,322"
"American Cordials & Liqueur,72722,086036862775,Christian Bros Honey,70,750,12.00,9.00,108.00,No,259"
"American Cordials & Liqueur,76488,086816100325,Paramount Amaretto,50,""1,750"",6.00,12.38,74.28,No,434"
"American Cordials & Liqueur,76486,086816100349,Paramount Amaretto,50,750,12.00,5.25,63.00,No,434"
"American Cordials & Liqueur,78456,086816100943,Paramount Creme de Cacao Dark,50,750,12.00,7.50,90.00,No,434"
"American Cordials & Liqueur,78866,086816101148,Paramount Creme de Cacao White,50,750,12.00,7.50,90.00,No,434"
"American Cordials & Liqueur,85606,086816101445,Paramount Blue Curacao,30,750,12.00,7.50,90.00,No,434"
"American Cordials & Liqueur,79336,086816101544,Paramount Creme de Menthe Green,50,750,12.00,7.50,90.00,No,434"
"American Cordials & Liqueur,76487,086816600931,Paramount Amaretto,50,""1,000"",12.00,6.08,72.96,No,434"
"American Cordials & Liqueur,71886,088004016463,Amaretto E Dolce,42,750,12.00,5.01,60.12,No,421"
"American Cordials & Liqueur,84219,088004024093,99 Peppermint,99,100,48.00,1.43,68.64,No,055"
"American Cordials & Liqueur,84404,088004030247,99 Mangoes,99,100,48.00,1.43,68.64,No,055"
"American Cordials & Liqueur,85066,088352118598,Arrow Anisette,60,750,12.00,7.11,85.32,No,434"
"American Cordials & Liqueur,79966,088352118680,Arrow Creme de Almond,75,750,12.00,7.11,85.32,No,434"
"American Cordials & Liqueur,78616,088352118710,Arrow Creme de Cacao White,30,750,12.00,7.11,85.32,No,434"
"American Cordials & Liqueur,79516,088352118734,Arrow Creme de Menthe White,30,750,12.00,7.11,85.32,No,434"
"American Cordials & Liqueur,79026,088352118741,Arrow Creme de Menthe Green,30,750,12.00,7.11,85.32,No,434"
"American Cordials & Liqueur,76467,089000019076,Mr. Boston Amaretto 80PF 1L,30,""1,000"",12.00,6.08,72.96,No,055"
"American Cordials & Liqueur,84217,089000992119,99 Grapes,99,100,48.00,1.43,68.64,No,055"
"American Cordials & Liqueur,73343,089105124170,Conciere Amaretto,30,""1,000"",12.00,7.49,89.88,No,803"
"American Cordials & Liqueur,73748,096749000906,Evan Williams Peach,70,750,12.00,12.00,144.00,No,259"
"American Cordials & Liqueur,73747,096749000913,Evan Williams Peach Mini,70,50,8.00,9.45,75.60,No,259"
"American Cordials & Liqueur,73749,096749001071,Evan Williams Apple,70,750,12.00,12.00,144.00,No,259"
"American Cordials & Liqueur,73737,096749001088,Evan Williams Apple Mini,70,50,12.00,6.30,75.60,No,259"
"American Cordials & Liqueur,73702,096749021802,Evan Williams Honey,70,750,12.00,12.00,144.00,No,259"
"American Cordials & Liqueur,73715,096749021857,Evan Williams Cherry Reserve,70,750,12.00,12.00,144.00,No,259"
"American Cordials & Liqueur,76478,096749940035,Pama Pomegranate Liqueur,34,750,6.00,14.99,89.94,No,259"
"American Cordials & Liqueur,86661,616641412746,Bella Limoncello,25,750,12.00,19.94,239.28,No,086"
"American Cordials & Liqueur,77768,721059001380,Wild Turkey American Honey Sting,71,750,12.00,15.75,189.00,No,619"
"American Cordials & Liqueur,77774,721059811002,Wild Turkey American Honey,71,""1,000"",12.00,20.73,248.76,No,619"
