Post Type,Month,Year,Wholesaler,Bev. Type,Product Code,Combo/Reg,Brand Reg,TTB ID,Brand Name,Product,Agent/Owner,Source of Info,Distributor-Wholesaler Serial #,Size,Unit,# of Bottles,Bottles per Sleeve,Age/Vintage,Alc %,Proof,Price per Bottle,Price per Case,NYC bottle,NYC case,Full Case Purchase,Split Case Charge,FOB,NYS Supplier's Serial #,NYS Suppliers Product Code,Column 31,Column 32,Limited Avail.,Allocation,Allocation Description,NYS Product,Column 37,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,,,,,
WW,5,2018,2188817,TW,APW-IVMTS-15,R,P,16079001000011,KTW,Wine,A,,N,750,ml,12,,VV,B,B,7.50,90.00,,,N,,,,APW-IVMTS-15,,,,,,,,40,C,12,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-IVTSOL-16,R,P,17070001000113,KTW,Wine,A,,N,750,ml,12,,VV,B,B,6.00,72.00,,,N,,,,APW-IVTSOL-16,,,,,,,,40,C,12,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-IVTVISH-16,R,P,17070001000110,KTW,Wine,A,,N,750,ml,12,,VV,B,B,7.50,90.00,,,N,,,,APW-IVTVISH-16,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-KTWO750-12,R,P,15071001000380,KTW,Wine,A,,N,750,ml,12,,VV,B,B,8.40,100.80,,,N,,,,APW-KTWO750-12,,,,,,,,5,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-KTWR750-13,R,P,15047001000164,KTW,Wine,A,,N,750,ml,12,,VV,B,B,9.00,108.00,,,N,,,,APW-KTWR750-13,,,,,,,,5,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-NPC-CASTEL,R,P,17175001000012,Castelforte,Wine,A,,N,750,ml,12,,VV,B,B,4.97,49.20,,,N,,,,APW-NPC-CASTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-NPC-MAKASHVILI,R,P,18039001000009,Makashvili Wine Cellar,Makashvili Wine Cellar,A,,N,750,ml,12,,VV,B,B,15.33,183.96,,,N,,,,APW-NPC-MAKASHVILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-NPC-ORGO,R,P,14271001000001,Orgo,Orgo,A,,N,750,ml,12,,VV,B,B,12.33,147.96,,,N,,,,APW-NPC-ORGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-NPC-TBILVINO,R,P,16294001000219,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-NPC-TBILVINO,,,,,,,,40,C,12,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-SAKHA750-16,R,P,17270001000535,Shilda,Wine,A,,N,750,ml,12,,VV,B,B,7.50,90.00,,,N,,,,APW-SAKHA750-16,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
