"""Item Code"",""ItemStatus"",""Description"",""Size"",""Age"",""Proof"",""Bottles Per Case"",""Unit Price"",""Effective Date"""
"""3693B"",,""THE QUIET MAN 8 YR S/M IRISH WHISKEY"",""750 ML"",,80,6,49.95,08/01/2020"
"""3694B"",""@"",""JACK DANIEL'S S/B RYE"",""750 ML"",""4 YRS"",94,6,39.95,08/01/2020"
"""3695B"",""@"",""4 SPIRITS HABANERO SPICED RUM"",""750 ML"",,80,6,32.95,08/01/2020"
"""3712E"",""@"",""SPIRITOPIA APPLE BRANDY"",""375 ML"",,104,12,29.95,08/01/2020"
"""3718B"",""@"",""CANNON BEACH THE PHARMACIST GIN"",""750 ML"",,84,12,39.95,08/01/2020"
"""3720D"",,""TWISTED SHOTZ B52"",""200 ML"",,40,18,5.95,08/01/2020"
"""3723B"",,""KRAKEN BLACK SPICED 70 PROOF"",""750 ML"",,70,12,18.95,08/01/2020"
"""3724B"",,""THREE OLIVES APPLE PEAR"",""750 ML"",,70,12,17.95,08/01/2020"
"""3725B"",,""THREE OLIVES PINK GRAPEFRUIT"",""750 ML"",,70,12,17.95,08/01/2020"
"""3732B"",""@"",""WHEATLEY VODKA"",""750 ML"",,82,12,19.95,08/01/2020"
"""3733B"",,""TAAKA VODKA 100 PROOF"",""750 ML"",,100,12,7.50,08/01/2020"
"""3734B"",,""LARCENY BOURBON"",""750 ML"",,92,6,24.95,08/01/2020"
"""3734H"",,""LARCENY BOURBON"",""1.75 L"",,92,6,49.95,08/01/2020"
"""3737B"",,""BIRD DOG BLENDED WHISKEY"",""750 ML"",,80,6,19.95,08/01/2020"
"""3748B"",""@"",""STILLWAGON DEVILS OWN CRANBERRY RUM"",""750 ML"",,90,12,41.50,08/01/2020"
"""3750B"",,""STOLI GLUTEN FREE VODKA 80P"",""750 ML"",,80,12,24.95,08/01/2020"
"""3752B"",""@"",""BELLKURVE VODKA"",""750 ML"",,80,12,19.95,08/01/2020"
"""3752F"",""@"",""BELLKURVE VODKA"",""50 ML"",,80,60,2.00,08/01/2020"
"""3755B"",""@"",""BUSQUEDA RUM"",""750 ML"",,80,12,28.95,08/01/2020"
"""3756B"",,""GHOST OWL RYE WHISKY"",""750 ML"",,84,12,29.95,08/01/2020"
"""3757E"",,""CHUM-CHURUM PEACH SOJU"",""375 ML"",,28,20,5.75,08/01/2020"
"""3772B"",,""AVION RESERVA 44 EXTRA ANEJO"",""750 ML"",,80,4,119.95,08/01/2020"
"""3773B"",""$"",""BUSHMILLS 80PF W/ BLKBUSH 50ML"",""750 ML"",,80,6,28.95,08/01/2020"
"""3779B"",""@"",""4 SPIRITS SINGLE MALT WHISKEY"",""750 ML"",,80,12,49.95,08/01/2020"
"""3785B"",,""CRATER LAKE RESERVE RYE WHISKEY"",""750 ML"",,96,6,39.95,08/01/2020"
"""3786B"",""@"",""CRATER LAKE ESTATE GIN 2016"",""750 ML"",,85,6,39.95,08/01/2020"
"""3789B"",,""SVEDKA CUCUMBER LIME VODKA"",""750 ML"",,70,12,12.95,08/01/2020"
"""3797B"",,""NEW AMSTERDAM VODKA 100 PROOF"",""750 ML"",,100,12,14.95,08/01/2020"
"""3798B"",,""LAGAVULIN 8 YEAR"",""750 ML"",""8 YRS"",96,6,64.95,08/01/2020"
"""3803B"",,""ROLLING RIVER SCORP PEPR MILD"",""750 ML"",,80,12,30.00,08/01/2020"
"""3804B"",,""ROLLING RIVER SCORP PEPR HOT"",""750 ML"",,80,12,30.00,08/01/2020"
"""3805B"",,""SMIRNOFF RED, WHITE & BERRY"",""750 ML"",,60,12,13.95,08/01/2020"
"""3805F"",,""SMIRNOFF RED, WHITE & BERRY"",""50 ML"",,60,120,1.75,08/01/2020"
"""3806B"",,""BIRD DOG RUBY RED GRAPEFRUIT WHISKEY"",""750 ML"",,80,6,15.95,08/01/2020"
"""3810B"",""@"",""ROLLING RIVER LOST BARREL WHITE DOG"",""750 ML"",,85,12,38.00,08/01/2020"
"""3823B"",""@"",""LAPHROAIG LORE"",""750 ML"",,96,6,124.95,08/01/2020"
"""3824B"",,""TOKI SUNTORY WHISKEY"",""750 ML"",,86,6,39.95,08/01/2020"
"""3830B"",,""RUMHAVEN"",""750 ML"",,42,12,14.95,08/01/2020"
"""3833B"",,""360 RED DELICIOUS APPLE VODKA"",""750 ML"",,70,12,13.95,08/01/2020"
"""3834B"",,""THE GLENLIVET FOUNDERS RESERVE"",""750 ML"",,80,12,39.95,08/01/2020"
"""3838B"",""@"",""EL SILENCIO ESPADIN"",""750 ML"",,86,6,30.95,08/01/2020"
"""3842B"",""@"",""NEW DEAL HUB BREWER'S WHISKEY"",""750 ML"",,80,12,39.95,08/01/2020"
"""3844B"",,""MALFY GIN"",""750 ML"",,82,6,24.95,08/01/2020"
"""3846B"",""@"",""EASY RIDER BOURBON"",""750 ML"",,80,12,21.95,08/01/2020"
"""3846F"",,""EASY RIDER BOURBON"",""50 ML"",,80,60,2.00,08/01/2020"
"""3856B"",""@"",""SPIRITOPIA POMEGRANATE LIQUEUR"",""750 ML"",,42,12,29.95,08/01/2020"
"""3856E"",""@"",""SPIRITOPIA POMEGRANATE LIQUEUR"",""375 ML"",,42,12,19.95,08/01/2020"
"""3859B"",,""WHISTLEPIG 15 YR STRAIGHT RYE WHISKEY"",""750 ML"",""15 YRS"",92,3,224.95,08/01/2020"
"""3881B"",,""CROWN ROYAL VANILLA"",""750 ML"",,70,12,27.95,08/01/2020"
"""3881E"",,""CROWN ROYAL VANILLA"",""375 ML"",,70,24,14.95,08/01/2020"
"""3881F"",,""CROWN ROYAL VANILLA"",""50 ML"",,70,60,2.50,08/01/2020"
"""3881H"",,""CROWN ROYAL VANILLA"",""1.75 L"",,70,6,51.95,08/01/2020"
"""3884B"",,""1792 SINGLE BARREL BOURBON"",""750 ML"",""8 YRS"",99,6,44.95,08/01/2020"
"""3885H"",,""FIREBALL BAG IN BOX (3 PK)"",""1.75 L"",,66,3,48.95,08/01/2020"
"""3888B"",,""1792 FULL PROOF BOURBON"",""750 ML"",""8 YRS"",125,6,49.95,08/01/2020"
"""3890B"",""$"",""AMARETTO DI AMORE W/2 GLASSES"",""750 ML"",,42,6,11.95,08/01/2020"
"""3891B"",,""BUSHMILLS BLACK W/ICE BALL MOLDS"",""750 ML"",,80,6,34.95,08/01/2020"
"""3893B"",""$"",""JACK DANIEL'S TENN. FIRE W/SHOT GLASS MOLD"",""750 ML"",,70,6,19.95,08/01/2020"
"""3901B"",,""YELLOW STONE SELECT"",""750 ML"",,93,6,34.95,08/01/2020"
"""3902B"",,""REBEL YELL ROOT BEER WHISKEY"",""750 ML"",,70,6,15.95,08/01/2020"
"""3903B"",,""MACALLAN DOUBLE CASK 12 YR"",""750 ML"",""12 YRS"",86,12,64.95,08/01/2020"
"""3903E"",,""MACALLAN DOUBLE CASK 12 YR"",""375 ML"",""12 YRS"",86,12,34.95,08/01/2020"
"""3903H"",""@"",""MACALLAN DOUBLE CASK 12 YR"",""1.75 L"",""12 YRS"",86,6,149.95,08/01/2020"
"""3910B"",""@"",""STILLWAGON WHISKEY RUN SINGLE MALT WHISKEY"",""750 ML"",,93,12,59.45,08/01/2020"
"""3919B"",,""HDC BROWN SUGAR BOURBON (BSB)"",""750 ML"",,60,12,19.95,08/01/2020"
"""3921B"",""@"",""HDC LAVENDER VODKA"",""750 ML"",,60,12,17.95,08/01/2020"
"""3932B"",,""OLD CAMP SPICY PECAN PEACH WHISKEY"",""750 ML"",,70,12,19.95,08/01/2020"
"""3934B"",,""TEMPLETON RYE 6 YR"",""750 ML"",,92,6,41.95,08/01/2020"
"""3935B"",,""EVAN WILLIAMS PEACH"",""750 ML"",,70,12,12.95,08/01/2020"
"""3936B"",,""JAMESON COOPER'S CROZE IRISH WHISKEY"",""750 ML"",,86,3,50.00,08/01/2020"
"""3938A"",,""KOLOA RUM RUM PUNCH"",""LITER"",,20,12,15.95,08/01/2020"
"""3944B"",,""WILD ROOTS VODKA"",""750 ML"",,80,12,19.95,08/01/2020"
"""3944E"",""@"",""WILD ROOTS VODKA"",""375 ML"",,80,12,11.95,08/01/2020"
"""3944H"",,""WILD ROOTS VODKA"",""1.75 L"",,80,6,39.95,08/01/2020"
"""3945B"",,""WILD ROOTS PEAR VODKA"",""750 ML"",,70,12,24.95,08/01/2020"
"""3945E"",""@"",""WILD ROOTS PEAR VODKA"",""375 ML"",,70,12,14.95,08/01/2020"
"""3946B"",,""BLACK BUTTE WHISKEY"",""750 ML"",,94,6,74.95,08/01/2020"
"""3947B"",""@"",""CRATER LAKE NW BERRY VODKA"",""750 ML"",,70,12,24.95,08/01/2020"
"""3947E"",""@"",""CRATER LAKE NW BERRY VODKA"",""375 ML"",,70,12,12.95,08/01/2020"
"""3953B"",""@"",""BANHEZ JOVEN ESPADIIN & BARRIL MEZCAL"",""750 ML"",,80,12,30.95,08/01/2020"
"""3975B"",""@"",""NEW DEAL CASCADIA BITTER LIQUEUR"",""750 ML"",,70,12,34.95,08/01/2020"
"""3975E"",""@"",""NEW DEAL CASCADIA BITTER LIQUEUR"",""375 ML"",,70,12,24.95,08/01/2020"
"""3975F"",""@"",""NEW DEAL CASCADIA BITTER LIQUEUR"",""50 ML"",,70,120,4.00,08/01/2020"
"""3977E"",""@"",""IMMORTAL SPIRITS LIMONCELLO"",""375 ML"",,64,12,16.00,08/01/2020"
"""3979B"",,""EFFEN BLOOD ORANGE VODKA"",""750 ML"",,75,6,26.95,08/01/2020"
"""3980B"",,""EFFEN GREEN APPLE VODKA"",""750 ML"",,75,6,26.95,08/01/2020"
"""3982B"",,""JIM BEAM DOUBLE OAK"",""750 ML"",,86,12,22.95,08/01/2020"
"""3983B"",,""CANADIAN CLUB RYE"",""750 ML"",,80,12,20.95,08/01/2020"
"""3984B"",""@"",""STILLHOUSE PEACH TEA"",""750 ML"",,70,12,19.95,08/01/2020"
"""3985B"",,""STILLHOUSE APPLE CRISP"",""750 ML"",,70,12,19.95,08/01/2020"
"""3986B"",,""STILLHOUSE ORIGINAL MOONSHINE"",""750 ML"",,80,12,19.95,08/01/2020"
"""3988B"",,""GLACIER45 VODKA"",""750 ML"",,80,6,24.95,08/01/2020"
"""3989B"",,""GLACIER45 HUCKLEBERRY VODKA"",""750 ML"",,70,6,24.95,08/01/2020"
"""3990B"",""@"",""GLACIER45 PEPPER VODKA"",""750 ML"",,70,6,24.95,08/01/2020"
"""4002B"",,""CIROC MANGO"",""750 ML"",,70,12,35.95,08/01/2020"
"""4004B"",,""TULLAMORE DEW 14YR IRISH WHISKEY"",""750 ML"",""14 YRS"",83,6,69.95,08/01/2020"
"""4009B"",,""CLYDE MAY'S STRAIGHT BOURBON WHISKEY"",""750 ML"",,92,6,32.95,08/01/2020"
"""4010B"",""@"",""OURAGON VODKA"",""750 ML"",,80,6,23.95,08/01/2020"
"""4019B"",,""GREEN SPOT CHATEAU LEOVILLE BARTON"",""750 ML"",,92,6,149.95,08/01/2020"
"""4021B"",,""PLANTATION ORIGINAL DARK"",""750 ML"",,80,6,23.95,08/01/2020"
"""4041B"",""@"",""HDC ELK RIDER CRISP GIN"",""750 ML"",,94,12,17.95,08/01/2020"
"""4051E"",""@"",""CANNON BEACH EASY BUOY"",""375 ML"",,42,24,20.00,08/01/2020"
"""4054B"",""$"",""FOUR ROSES BOURBON GIFT"",""750 ML"",,80,6,24.95,08/01/2020"
"""4058B"",,""NEW AMSTERDAM APPLE VODKA"",""750 ML"",,70,12,9.95,08/01/2020"
"""4059B"",""@"",""THINKING TREE GIFTED GIN"",""750 ML"",,80,6,42.00,08/01/2020"
"""4059E"",""@"",""THINKING TREE GIFTED GIN"",""375 ML"",,80,12,25.00,08/01/2020"
"""4060B"",""@"",""THINKING TREE MAINSTAGE VODKA"",""750 ML"",,80,6,34.00,08/01/2020"
"""4060E"",""@"",""THINKING TREE MAINSTAGE VODKA"",""375 ML"",,80,12,19.00,08/01/2020"
"""4061B"",""@"",""THINKING TREE WHITEAKER RUM"",""750 ML"",,40,6,36.00,08/01/2020"
"""4061E"",""@"",""THINKING TREE WHITEAKER RUM"",""375 ML"",,40,12,23.00,08/01/2020"
"""4062B"",""@"",""ACME CORN WHISKEY"",""750 ML"",,90,6,25.90,08/01/2020"
"""4073B"",,""WESTLAND GARRYANA SINGLE MALT WHISKEY"",""750 ML"",,112,6,149.95,08/01/2020"
"""4074B"",""$"",""KRAKEN RUM W/TIKI GLASS"",""750 ML"",,94,6,18.95,08/01/2020"
"""4075B"",""@"",""RANSOM RYE, BARLEY, WHEAT WHISKEY"",""750 ML"",,93,12,53.15,08/01/2020"
"""4082B"",,""OUTERSPACE VODKA"",""750 ML"",,80,6,32.95,08/01/2020"
"""4082F"",,""OUTERSPACE VODKA"",""50 ML"",,80,60,6.00,08/01/2020"
"""4087B"",,""NIKKA COFFEY MALT"",""750 ML"",,90,6,77.95,08/01/2020"
"""4097B"",""@"",""SWALLOWTAIL GIN"",""750 ML"",,90,12,29.95,08/01/2020"
"""4097E"",""@"",""SWALLOWTAIL GIN"",""375 ML"",,90,12,18.00,08/01/2020"
"""4098B"",""@"",""SWALLOWTAIL NAVY STRENGTH GIN"",""750 ML"",,114,12,34.95,08/01/2020"
"""4098E"",""@"",""SWALLOWTAIL NAVY STRENGTH GIN"",""375 ML"",,114,12,18.00,08/01/2020"
"""4099B"",""@"",""TRILLIUM GIN"",""750 ML"",,90,12,29.95,08/01/2020"
"""4099E"",""@"",""TRILLIUM GIN"",""375 ML"",,90,24,14.95,08/01/2020"
"""4100B"",""@"",""FIRST CITY VODKA"",""750 ML"",,90,12,29.95,08/01/2020"
"""4100E"",""@"",""FIRST CITY VODKA"",""375 ML"",,90,24,14.95,08/01/2020"
"""4103B"",,""OLD FORESTER 1920 CRAFT"",""750 ML"",,115,6,59.95,08/01/2020"
"""4105B"",,""HAVANA CLUB BLANCO"",""750 ML"",,80,12,19.95,08/01/2020"
"""4106B"",,""HAVANA CLUB CLASICO"",""750 ML"",,80,12,21.95,08/01/2020"
"""4128E"",""@"",""SINISTER GRAPPA"",""375 ML"",,80,12,26.95,08/01/2020"
"""4129B"",""@"",""BULL RUN OREGON SINGLE MALT WHISKEY"",""750 ML"",,88,12,49.95,08/01/2020"
"""4129E"",""@"",""BULL RUN OREGON SINGLE MALT WHISKEY"",""375 ML"",,88,12,24.95,08/01/2020"
"""4129F"",,""BULL RUN OREGON SINGLE MALT WHISKEY"",""50 ML"",,88,90,5.00,08/01/2020"
"""4130B"",""@"",""BULL RUN OREGON SINGLE MALT CASK STRENGTH"",""750 ML"",,112,12,74.95,08/01/2020"
"""4131B"",,""KERRYGOLD IRISH CREAM LIQUEUR"",""750 ML"",,34,6,34.30,08/01/2020"
"""4146B"",,""BROKEN TOP BOURBON WHISKEY"",""750 ML"",,88,12,34.95,08/01/2020"
"""4147B"",,""WILD ROOTS CHERRY VODKA"",""750 ML"",,70,12,24.95,08/01/2020"
"""4148B"",,""WILD ROOTS CRANBERRY"",""750 ML"",,70,12,24.95,08/01/2020"
"""4149B"",,""ABSOLUT LIME"",""750 ML"",,80,12,19.95,08/01/2020"
"""4149H"",,""ABSOLUT LIME"",""1.75 L"",,80,6,46.95,08/01/2020"
"""4152B"",,""ROLLING RIVER AQUAVIT WILD BOAR"",""750 ML"",,84,12,65.00,08/01/2020"
"""4153B"",,""ROLLING RIVER AQUA. BRN BEAR"",""750 ML"",,84,12,32.00,08/01/2020"
"""4154B"",,""ROLLING RIVER AQUA. OLD GOAT"",""750 ML"",,84,12,27.00,08/01/2020"
"""4165B"",""@"",""FIR OF THE DOUG"",""750 ML"",,80,12,33.00,08/01/2020"
"""4166B"",""@"",""IWAI TRADITION WHISKY"",""750 ML"",,80,12,59.95,08/01/2020"
"""4167B"",""@"",""IWAI WHISKY"",""750 ML"",,80,12,38.95,08/01/2020"
"""4169B"",,""AKASHI WHISKY EIGASHIMA"",""750 ML"",,80,6,49.95,08/01/2020"
"""4171B"",""@"",""MUTINEER SPICED RUM"",""750 ML"",,84,12,34.95,08/01/2020"
"""4172B"",,""TULLAMORE DEW CROCK"",""750 ML"",,80,6,30.95,08/01/2020"
"""4173E"",""@"",""HOUSE SPIRITS CREME DE CACAO"",""375 ML"",,50,12,24.95,08/01/2020"
"""4174B"",,""SINISTER HOWARD JACOB S/M WHISKEY"",""750 ML"",,80,12,49.95,08/01/2020"
"""4175B"",,""BSB 103 - BROWN SUGAR BOURBON"",""750 ML"",,103,12,29.95,08/01/2020"
"""4176B"",""@"",""COLD TREE GIN"",""750 ML"",,80,12,29.95,08/01/2020"
"""4177B"",""@"",""FERNET DEI FRATELLI LORETO"",""750 ML"",,80,12,34.95,08/01/2020"
"""4179B"",""@"",""AALBORG TAFFEL AQUAVIT"",""750 ML"",,90,6,21.95,08/01/2020"
"""4189B"",""@"",""MEDOYEFF TRUFFLE VODKA"",""750 ML"",,86,12,29.95,08/01/2020"
"""4205B"",,""BAILEYS ALMANDE"",""750 ML"",,26,12,29.95,08/01/2020"
"""4205F"",,""BAILEYS ALMANDE"",""50 ML"",,26,120,3.50,08/01/2020"
"""4214B"",""@"",""BARRELMAN RUM"",""750 ML"",,80,12,45.00,08/01/2020"
"""4215B"",""@"",""HOLEN AQUAVIT"",""750 ML"",,80,12,35.00,08/01/2020"
"""4216B"",""@"",""DIABLO AZUL REPOSADO"",""750 ML"",,80,12,50.00,08/01/2020"
"""4216E"",""@"",""DIABLO AZUL REPOSADO"",""375 ML"",,80,12,30.00,08/01/2020"
"""4218B"",,""BUSHMILLS RED BUSH"",""750 ML"",,80,12,28.95,08/01/2020"
"""4221B"",""@"",""DROP SHOP LIMECELLO"",""750 ML"",,70,6,24.95,08/01/2020"
"""4221E"",""@"",""DROP SHOP LIMECELLO"",""375 ML"",,70,12,15.95,08/01/2020"
"""4222B"",""@"",""DROP SHOP ORANGECELLO"",""750 ML"",,70,6,24.95,08/01/2020"
"""4222E"",""@"",""DROP SHOP ORANGECELLO"",""375 ML"",,70,12,15.95,08/01/2020"
"""4223B"",""@"",""DROP SHOP LIMONCELLO"",""750 ML"",,70,6,24.95,08/01/2020"
"""4223E"",""@"",""DROP SHOP LIMONCELLO"",""375 ML"",,70,12,15.95,08/01/2020"
"""4231B"",,""CAPTAIN MORGAN LOCONUT"",""750 ML"",,40,6,19.95,08/01/2020"
"""4237B"",""@"",""HDC STATE VODKA"",""750 ML"",,80,12,7.95,08/01/2020"
"""4237H"",,""HDC STATE VODKA"",""1.75 L"",,80,6,14.95,08/01/2020"
"""4259B"",,""TULLAMORE DEW 15YR IRISH WHISKEY"",""750 ML"",,80,6,79.95,08/01/2020"
"""4260B"",,""KINKY RED LIQUEUR"",""750 ML"",,34,6,16.95,08/01/2020"
"""4262B"",,""DEEP EDDY ORANGE"",""750 ML"",,70,12,19.95,08/01/2020"
"""4265B"",""@"",""THE WALTER COLLECTIVE VODKA"",""750 ML"",,90,12,26.95,08/01/2020"
"""4265F"",,""THE WALTER COLLECTIVE VODKA"",""50 ML"",,90,50,3.00,08/01/2020"
"""4269B"",,""OREGON SPIRIT BOURBON"",""750 ML"",,94,6,44.95,08/01/2020"
"""4269F"",""@"",""OREGON SPIRIT BOURBON"",""50 ML"",,94,96,6.00,08/01/2020"
"""4270B"",""@"",""OREGON SPIRIT STRAIGHT WHEAT"",""750 ML"",,90,6,44.95,08/01/2020"
"""4270F"",""@"",""OREGON SPIRIT STRAIGHT WHEAT"",""50 ML"",,90,96,6.00,08/01/2020"
"""4271B"",""@"",""OREGON SPIRIT BOURBON BIB"",""750 ML"",,100,6,75.00,08/01/2020"
"""4272B"",""@"",""OREGON SPIRIT WHEAT BIB"",""750 ML"",,100,6,74.95,08/01/2020"
"""4273B"",,""BULLEIT BOURBON BARREL STRENGTH"",""750 ML"",,120,6,49.95,08/01/2020"
"""4277B"",,""EZRA BROOKS RYE"",""750 ML"",,90,12,17.95,08/01/2020"
"""4281B"",,""JEFFERSON'S RESERVE PRITCHARD HILL CABERNET CASK"",""750 ML"",,90,6,77.95,08/01/2020"
"""4282B"",""@"",""GLACIER45 BOURBON WHISKEY"",""750 ML"",,117,6,39.95,08/01/2020"
"""4284B"",""@"",""GLACIER45 CUCUMBER VODKA"",""750 ML"",,70,6,24.95,08/01/2020"
"""4285B"",,""THREE OLIVES CUCUMBER LIME"",""750 ML"",,70,12,17.95,08/01/2020"
"""4286B"",,""THREE OLIVES FRESH WATERMELON"",""750 ML"",,70,12,17.95,08/01/2020"
"""4287H"",""@"",""1800 SPICY JALAPENO LIME"",""1.75 L"",,20,6,20.95,08/01/2020"
"""4289B"",,""UNCLE NEAREST PREMIUM WHISKEY"",""750 ML"",,100,6,59.95,08/01/2020"
"""4290B"",""@"",""UNCLE NEAREST SILVER WHISKEY"",""750 ML"",,100,6,38.95,08/01/2020"
"""4298B"",""@"",""VIVACITY SPIRITS BRANDY"",""750 ML"",,85,12,39.00,08/01/2020"
"""4298F"",,""VIVACITY SPIRITS BRANDY"",""50 ML"",,85,96,4.25,08/01/2020"
"""4301A"",,""ROSE CITY GIN"",""LITER"",,80,12,12.95,08/01/2020"
"""4301H"",""@"",""ROSE CITY GIN"",""1.75 L"",,80,6,18.95,08/01/2020"
"""4304B"",,""REDBREAST LUSTAU"",""750 ML"",,92,6,79.95,08/01/2020"
"""4305B"",""@"",""PELOTON DE LA MUERTA"",""750 ML"",,82,12,27.95,08/01/2020"
"""4307B"",,""BACARDI BANANA"",""750 ML"",,70,12,12.95,08/01/2020"
"""4312E"",""@"",""RUMCHATA MINICHATA CREAMERS"",""375 ML"",,28,12,9.95,08/01/2020"
"""4315B"",,""MINOR CASE STRAIGHT RYE"",""750 ML"",,90,6,39.95,08/01/2020"
"""4316B"",,""SINFIRE APPLE"",""750 ML"",,70,12,16.95,08/01/2020"
"""4316F"",,""SINFIRE APPLE"",""50 ML"",,70,120,1.50,08/01/2020"
"""4317B"",,""DOUBLE MOUNTAIN HOPPED WHISKEY"",""750 ML"",,82,12,22.95,08/01/2020"
"""4318B"",,""SINFIRE VANILLA"",""750 ML"",,70,12,16.95,08/01/2020"
"""4318F"",,""SINFIRE VANILLA"",""50 ML"",,70,120,1.50,08/01/2020"
"""4321B"",,""JIM BEAM VANILLA"",""750 ML"",,65,12,17.95,08/01/2020"
"""4323B"",,""OLMECA ALTOS ANEJO"",""750 ML"",,80,6,29.95,08/01/2020"
"""4325B"",""@"",""BLUE CHAIR BAY KEY LIME CREAM"",""750 ML"",,30,12,16.95,08/01/2020"
"""4325F"",,""BLUE CHAIR BAY KEY LIME CREAM"",""50 ML"",,30,120,1.50,08/01/2020"
"""4343E"",""@"",""KROGSTAD PLOMME"",""375 ML"",,60,12,24.95,08/01/2020"
"""4345B"",,""BORGHETTI DI VERO ESPRESSO"",""750 ML"",,50,6,21.95,08/01/2020"
"""4346B"",,""BOMOND VODKA"",""750 ML"",,80,6,26.95,08/01/2020"
"""4357B"",,""THE SINGLETON 18 YR"",""750 ML"",,80,6,79.95,08/01/2020"
"""4358B"",,""THE SINGLETON 15 YR"",""750 ML"",,80,6,64.95,08/01/2020"
"""4359B"",,""SVEDKA BLUE RASPBERRY VODKA"",""750 ML"",,70,12,12.95,08/01/2020"
"""4376B"",,""LA CARAVEDO PURO QUEBRANTA PISCO"",""750 ML"",,80,6,24.95,08/01/2020"
"""4380B"",""@"",""LEADSLINGERS BOURBON WHISKEY"",""750 ML"",,80,6,37.95,08/01/2020"
"""4386B"",""$"",""REMY MARTIN 1738 W/2 GLASSES"",""750 ML"",,80,6,56.95,08/01/2020"
"""4392B"",""@"",""ARIA DISTILLERS RESERVE GIN - BITTERSWEET IMBUE"",""750 ML"",,98,12,36.00,08/01/2020"
"""4393B"",""@"",""ARIA DISTILLERS RESERVE GIN - KEN WRIGHT"",""750 ML"",,82,12,48.00,08/01/2020"
"""4394B"",""@"",""ARIA DISTILLERS RESERVE GIN - PETAL & THORN"",""750 ML"",,82,12,42.00,08/01/2020"
"""4404B"",,""CASA MAGDALENA RUM"",""750 ML"",,83,6,19.95,08/01/2020"
"""4409E"",""@"",""ROD'S WILD BLACKBERRY"",""375 ML"",,60,24,14.25,08/01/2020"
"""4410B"",,""FIRST CITY RUM"",""750 ML"",,90,12,29.95,08/01/2020"
"""4411B"",,""TRILLIUM BARREL RESERVED GIN"",""750 ML"",,90,12,39.95,08/01/2020"
"""4412B"",""@"",""STILLWAGON DEVILS OWN COCONUT RUM"",""750 ML"",,85,12,41.50,08/01/2020"
"""4413B"",""@"",""STILLWAGON DEVILS OWN WALNUT & FIG RUM"",""750 ML"",,85,12,41.50,08/01/2020"
"""4414B"",""@"",""STILLWAGON DEVILS OWN HIBISCUS RUM"",""750 ML"",,85,12,41.50,08/01/2020"
"""4415B"",""@"",""STILLWAGON DEVILS OWN DARK RUM"",""750 ML"",,85,12,41.50,08/01/2020"
"""4416B"",""@"",""STILLWAGON DEVILS OWN CASK STR. GOLD RUM"",""750 ML"",,120,12,47.75,08/01/2020"
"""4419B"",""@"",""SWALLOWTAIL MARIONBERRY VODKA"",""750 ML"",,70,12,26.00,08/01/2020"
"""4419E"",""@"",""SWALLOWTAIL MARIONBERRY VODKA"",""375 ML"",,70,12,14.00,08/01/2020"
"""4420B"",""@"",""SWALLOWTAIL RASPBERRY VODKA"",""750 ML"",,70,12,26.00,08/01/2020"
"""4420E"",""@"",""SWALLOWTAIL RASPBERRY VODKA"",""375 ML"",,70,12,14.00,08/01/2020"
"""4421E"",""@"",""BLOODY KNUCKLES ASTORIA MARY 4PK"",""375 ML"",,20,6,14.95,08/01/2020"
"""4422B"",""@"",""HDC SEASONED VODKA"",""750 ML"",,80,12,19.95,08/01/2020"
"""4427B"",""@"",""TWO SEVEN SIX VODKA"",""750 ML"",,80,6,20.95,08/01/2020"
"""4428A"",,""EARLY TIMES BOTTLED IN BOND"",""LITER"",,100,12,21.95,08/01/2020"
"""4431B"",,""HIGHLAND PARK MAGNUS"",""750 ML"",,80,6,44.95,08/01/2020"
"""4434H"",,""KRU 82 VODKA"",""1.75 L"",,82,6,19.95,08/01/2020"
"""4435H"",,""FRAPPACHATA ICED COFFEE BLEND"",""1.75 L"",,25,6,19.95,08/01/2020"
"""4438B"",,""OLD CAMP BLENDED WHISKEY"",""750 ML"",,80,12,19.95,08/01/2020"
"""4439B"",,""TIN CUP WHISKEY 10 YRS"",""750 ML"",""10 YRS"",84,6,54.95,08/01/2020"
"""4441B"",,""KILBEGGAN SINGLE GRAIN"",""750 ML"",,86,6,24.95,08/01/2020"
"""4444B"",,""GUNPOWDER IRISH GIN"",""750 ML"",,80,6,37.95,08/01/2020"
"""4446B"",""@"",""LTD ED. STRONGER AMER. LT WSKY"",""750 ML"",,97,6,119.95,08/01/2020"
"""4447B"",""$"",""GOSLING'S DARK'N STORMY VAP"",""750 ML"",,80,6,15.95,08/01/2020"
"""4448B"",""$"",""WILD ROOTS MARIONBERRY VAP"",""750 ML"",,70,6,24.95,08/01/2020"
"""4449B"",""$"",""JC TRAD. SILVER W/GLASSES"",""750 ML"",,80,6,17.95,08/01/2020"
"""4450B"",""$"",""SAILOR JERRY SPICED W/2 OIL CAN"",""750 ML"",,92,6,16.95,08/01/2020"
"""4452B"",""$"",""BELVEDERE PURE ICE DUO VAP"",""750 ML"",,80,6,26.95,08/01/2020"
"""4453H"",""$"",""GENTLEMAN JACK W/STEEL CUPS"",""1.75 L"",,80,3,61.95,08/01/2020"
"""4454B"",""$"",""RUMCHATA HOLIDAY W/2-100ML"",""750 ML"",,28,6,24.95,08/01/2020"
"""4455B"",""$"",""SAMBUCA DI AMORE W/2 GLASSES"",""750 ML"",,84,6,11.95,08/01/2020"
"""4456E"",""$"",""KNOB CREEK 375ML COMBO PACK"",""375 ML"",,100,6,24.95,08/01/2020"
