PROD #,RETAIL UPC,BRAND,TYPE,Supplier,Package,,,START,END,QUANTITY,REG.,DISC.,PROM.,UNIT,TYPE,COMMENTS
,,,,,Packs,Units,oz,DATE,DATE,,PRICE,,PRICE,COST,,
1078,087692003588,Sam Adams Summer Variety,Can,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1032,087692000044,Sam Adams White Christmas,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1030,087692300502,Sam Adams Winter Lager,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1031,087692011033,Sam Adams Winter Lager,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1029,087692001096,Sam Adams Winter Lager,Can,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1036,087692291039,Sam Adams Winter Variety,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1090,087692004172,Truly Colima Lime,Bottle,Boston Beer Co Inc,4,6,12,10/30/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
1091,087692004202,Truly Grapefruit & Pomelo,Bottle,Boston Beer Co Inc,4,6,12,10/30/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
1093,087692004141,Truly Pomegranate,Bottle,Boston Beer Co Inc,4,6,12,10/30/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
1094,087692004455,Truly Variety,Bottle,Boston Beer Co Inc,2,12,12,10/2/2016,12/31/2016,1,$25.58,$1.60,$23.98,$11.9900,Original,
1104,087692003137,Twisted Tea Bourbon Barrel Aged,Bottle,Boston Beer Co Inc,4,6,12,10/30/2016,12/31/2016,1,$27.18,$3.22,$23.96,$5.9900,Original,
1114,087692751021,Twisted Tea Half & Half,Bottle,Boston Beer Co Inc,4,6,12,10/30/2016,12/31/2016,1,$27.18,$3.22,$23.96,$5.9900,Original,
1110,087692831020,Twisted Tea Original,Bottle,Boston Beer Co Inc,4,6,12,10/30/2016,12/31/2016,1,$27.18,$3.22,$23.96,$5.9900,Original,
1113,087692831341,Twisted Tea Original,Can,Boston Beer Co Inc,2,12,12,10/2/2016,12/31/2016,1,$22.38,$0.80,$21.58,$10.7900,Original,
5014,726959906476,Boulevard 80 Acre Hoppy Wheat,Bottle,Boulevard Brewing Co,4,6,12,10/30/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
5016,726959906704,Boulevard Pop Up Session IPA,Bottle,Boulevard Brewing Co,4,6,12,10/30/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
5034,726959907374,Boulevard Pop Up Session IPA,Can,Boulevard Brewing Co,4,6,12,10/30/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
5024,726959902515,Boulevard Sampler,Bottle,Boulevard Brewing Co,2,12,12,10/30/2016,12/31/2016,1,$28.80,$3.22,$25.58,$12.7900,Original,
