ItemName,Warehouse,CaseUPC,PackUPC,RetailUPC,UnitUPC,ItemKey,
11 PIERRE SPARR ALSACE ONE 750ML,All warehouses,,, 09787100029 1, 09787100029 1,2641,                                 
11 PIERRE SPARR PINOT BLANC,All warehouses,,, 09787100098 7, 09787100098 7,2624,                                      
11 QUERCETO CHIANTI CLASS 1.5L,All warehouses,,,0 87241 66012 5,0 87241 66012 5,3125,                                 
11 RESERVE COMTESSE,All warehouses,,,,0000000000000,8408,                                                             
11 RIGHETTI AMARONE 750ML,All warehouses,,, 63975400007 5,63975400007 5,2958,                                         
11 ROTH PINOT NOIR,All warehouses,,,,0000000000000,2137,                                                              
11 SCHRAMSBERG BLANC DE NOIR 750ML,All warehouses,,, 01985512200 3, 01985512200 3,4444,                               
11 SCHRAMSBERG CREMANT DEMI SEC 750ML,All warehouses,,,0 19855 14200 1,0 19855 14200 1,4445,                          
11 SPARR GEWTZ GR CrU 6PK,All warehouses,,,,0000000000000,2628,                                                       
11 STEMMARI MERLOT 750ML,All warehouses,,, 8 5455900021 5, 8 5455900021 5,3284,                                       
11/12/13 FISHER VERTICAL 6PK,All warehouses,,,,,537,                                                                  
12 BR COHN SAN GIACOMO CHARD 6PK,All warehouses,,,,,3400,                                                             
12 BURGESS  MERLOT,All warehouses,,,08121800779 1,08121800779 1,541,                                                  
12 BURGESS NAPA CABERNET 750ML,All warehouses,,,081218009870,081218009870,544,                                        
12 CABERNET FERRARI 3PK 1.5ML,All warehouses,,,0000000000000,0000000000000,1294,                                      
12 CABERNET SAUVIGNON 1882,All warehouses,,,, 74459814977,177,                                                        
12 CATENA ALTA CABERNET 6PK,All warehouses,,, 08904644405 0, 08904644405 0,3653,                                      
12 CHAT CRUZEAU RUTH CHRIS 750ML,All warehouses,,,,0000000000000,4460,                                                
12 CHILIS R & B ROSSO,All warehouses,,,0 8981979688 5,0 8981979688 5,725,                                             
12 CLOS PEGASE CABERNET 750ML,All warehouses,,, 03322885401 8, 03322885401 8,372,                                     
12 CLOS PEGASE MITSUKO CHARD 750ML,All warehouses,,, 03322886111 5, 03322886111 5,376,                                
12 COPPOLA DIAMOND ZINFANDEL 750ML,All warehouses,,, 73995897430 8, 73995897430 8,198,                                
12 COPPOLA DIRECTOR CUT CINEMA 750ML,All warehouses,,,7 39958 06740 6,7 39958 06740 6,189,                            
12 COPPOLA SELECT PINOT NOIR 750ML,All warehouses,,,0000000000000,0000000000000,228,                                  
12 COPPOLA SOFIA CHARDONNAY,All warehouses,,,,0000000000000,654,                                                      
12 COUSINO MACUL MERLOT 750ML,All warehouses,,, 08904666668 5, 08904666668 5,3599,                                    
12 DONATI IMMIGRANT RED 6 PK,All warehouses,,,,1 8783300040 4,2156,                                                   
12 DONATI MERLOT,All warehouses,,,,1 8783300021 3,2121,                                                               
12 DONATI VINEYARD EZIO 6PK,All warehouses,,,,1 8783300030 5,2154,                                                    
12 DONATI VINEYARDS CLARET,All warehouses,,,,1 8783300022 0,2152,                                                     
12 ELK COVE RIESLING 750ML,All warehouses,,, 08364885611 6, 08364885611 6,3473,                                       
12 ELK COVE ULTIMA 375ML,All warehouses,,,,,3477,                                                                     
12 FERRARI CARANO CABERNET 750ML,All warehouses,,, 74265113519 8, 74265113519 8,1260,                                 
12 FERRARI CARANO RES CHARDONNAY  750ML,All warehouses,,, 74265111419 3, 74265111419 3,1275,                          
12 FERRARI CARANO TRE TERRE CHARD 750ML,All warehouses,,, 74265112419 2, 74265112419 2,1251,                          
12 FERRARI CARANO TRESOR 6PK,All warehouses,,, 7 4265113829 8, 7 4265113829 8,1255,                                   
12 FISHER CAMERON RED 6PK,All warehouses,,,0000000000000,0000000000000,531,                                           
12 FISHER MTN CHARDONNAY  6PK 750ML,All warehouses,0000000000000,,0000000000000,0000000000000,530,                    
12 FISHER MTN EST CAB 6PK 750ML,All warehouses,,,0000000000000,0000000000000,539,                                     
12 FISHER UNITY PINOT NOIR,All warehouses,,,,,538,                                                                    
12 FLEURY COTE DU RHONE RED,All warehouses,,,0 31259 00132 6,0 31259 00132 6,5003,                                    
12 GEYSER PEAK CHARDONNAY 750ML,All warehouses,,, 08341701620 8, 08341701620 8,254,                                   
12 GEYSER PEAK MERLOT 750ML,All warehouses,,, 08341700220 1, 08341700220 1,255,                                       
12 GEYSER PEAK PINOT NOIR,All warehouses,,, 08341704220 7, 08341704220 7,272,                                         
12 GIRARD ARTISTRY 6PK,All warehouses, 00000000000, 00000000000, 00817639310 0, 00817639310 0,670,                    
12 GUENOC LAKE COUNTY CABERNET 750ML,All warehouses,,, 08163318512 8, 08163318512 8,155,                              
12 GUENOC LAKE COUNTY CHARD 750ML,All warehouses,,,0 8163328842 3,0 8163328842 3,150,                                 
12 INGLENOOK BLANCANEAUX 6PK750ML,All warehouses,,,,,613,                                                             
12 INGLENOOK CASK CAB 6PK 750ML,All warehouses,,,,,193,                                                               
12 INGLENOOK RUBICON 6PK 750ML,All warehouses,,,,,184,                                                                
12 J LOHR HIGHLAND BENCH P NOIR 6PK,All warehouses,,,,0000000000000,400,                                              
12 J LOHR HILLTOP CABERNET 6 PK,All warehouses,,,,0000000000000,348,                                                  
12 J LOHR SOUTHRIDGE SYRAH 750ML,All warehouses,,, 08912112852 7, 08912112852 7,315,                                  
12 J LOHR TOWER RD PETITE SIRAH 6PK 750ML,All warehouses,,,0 89121 17852 2,0 89121 17852 2,138,                       
12 LANCASTER CABERNET SAUVIGNON 6PK,All warehouses,,,,6 98743 16750 2,2132,                                           
12 LEYDA LOT 21 PINOT NOIR 6PK,All warehouses,,,,0000000000000,5108,                                                  
12 LURTON CHAT BONNET RED BORD 750ML,All warehouses,,,72129812051,72129812051,5008,                                   
12 LURTON LABASTIDE DAUZAC  750ML,All warehouses,,,,,4437,                                                            
12 MAGGIANOS R & B BIANCO,All warehouses,0000000000000,,,,608,                                                        
